merchant,category,amt,gender,city,state,zip,lat,long,city_pop,job,dob,merch_lat,merch_long,is_fraud
fraud_McKenzie-Huels,food_dining,14.06,M,Ruckersville,VA,22968,38.2586,-78.4074,9815,"Designer, ceramics/pottery",7/7/1975,37.319483,-79.40291,0
fraud_Terry-Huel,shopping_net,480.56,F,Issaquah,WA,98027,47.4974,-122.0107,50489,Osteopath,29/02/1984,47.641302,-121.019198,0
fraud_Beier-Hyatt,shopping_pos,4.55,F,Downsville,NY,13755,42.0716,-75.0152,1228,"Psychotherapist, child",25/02/1990,42.05004,-75.283248,0
fraud_Stark-Batz,entertainment,162.58,M,Parsonsfield,ME,4047,43.745,-70.9092,1892,Audiological scientist,2/3/1956,43.064273,-70.420935,0
fraud_Brown-Greenholt,entertainment,44.21,M,Glendale,CA,91206,34.1556,-118.2322,172817,Advertising account planner,30/07/1982,34.367484,-119.189365,0
fraud_Kulas Group,health_fitness,75.53,M,Chester Heights,PA,19017,39.8839,-75.4669,348,Management consultant,5/5/1945,39.542416,-76.141174,0
fraud_Bernier and Sons,kids_pets,47.66,M,Utica,KS,67584,38.6411,-100.138,269,Product/process development scientist,11/11/1962,37.940433,-99.891994,0
"fraud_Dare, Casper and Bartoletti",kids_pets,70.48,M,Springfield,GA,31329,32.3697,-81.3618,9034,"Therapist, occupational",2/3/1969,32.888656,-81.93613,0
fraud_Gleason and Sons,kids_pets,50.76,M,Oak Hill,NY,12460,42.4069,-74.1528,277,Glass blower/designer,12/12/1971,43.304837,-74.942471,0
fraud_Osinski Inc,personal_care,75.02,F,Dongola,IL,62926,37.3712,-89.1349,2263,Scientific laboratory technician,13/09/1984,36.945949,-88.158485,0
fraud_Boyer PLC,shopping_net,13.99,F,Independence,MO,64058,39.1412,-94.3515,123373,"Engineer, production",27/11/1992,40.058111,-94.446159,0
fraud_Wilkinson LLC,personal_care,22.31,F,Campbell,NE,68932,40.2967,-98.737,493,"Surveyor, minerals",13/09/1940,40.188555,-99.438592,0
"fraud_Greenholt, O'Hara and Balistreri",shopping_net,2.14,F,Roma,TX,78584,26.4215,-99.0025,18128,IT trainer,7/11/1990,25.895005,-99.266179,0
fraud_Connelly-Carter,home,36.34,F,Hedrick,IA,52563,41.1826,-92.3097,1583,Geochemist,28/06/1999,41.888572,-91.6744,0
fraud_Collier LLC,home,6.46,F,Rochester,KY,42273,37.2048,-86.8592,443,"Development worker, international aid",15/07/1947,36.38217,-86.8993,0
fraud_Schaefer Ltd,kids_pets,47.32,M,Bolivar,PA,15923,40.3673,-79.1605,1770,"Administrator, local government",8/12/1994,40.24493,-79.765684,0
"fraud_Berge, Kautzer and Harris",personal_care,72.66,F,Fulton,SD,57340,43.7588,-97.8712,355,Financial adviser,26/06/1955,43.503816,-98.446139,0
"fraud_Cole, Hills and Jewess",home,25.59,F,Tupper Lake,NY,12986,44.232,-74.4905,6120,Chartered loss adjuster,9/10/1976,43.478553,-73.538945,0
fraud_Pollich LLC,home,34.33,F,Diamond,OH,44412,41.0935,-81.0425,2644,"Engineer, biomedical",25/08/1983,42.07523,-80.337848,0
fraud_Cormier LLC,shopping_net,9.68,M,Lake Jackson,TX,77566,29.0393,-95.4401,28739,Futures trader,27/12/1999,29.82835,-95.904974,0
"fraud_Koss, McLaughlin and Mayer",food_dining,129.83,F,Rock Springs,WY,82901,41.606,-109.23,27971,Music therapist,1/8/1984,42.171409,-109.594555,0
fraud_Kertzmann LLC,health_fitness,142.08,M,Port Charlotte,FL,33981,26.9379,-82.2388,79008,Quantity surveyor,31/08/1984,26.028696,-82.779219,0
"fraud_Yost, Schamberger and Windler",kids_pets,32.67,M,Lohrville,IA,51453,42.2619,-94.5566,695,Administrator,15/07/1954,42.905459,-94.195666,0
"fraud_Hauck, Dietrich and Funk",kids_pets,16.48,F,Burbank,WA,99323,46.1966,-118.9017,3684,Musician,29/11/1981,47.114339,-118.292331,0
"fraud_Parker, Nolan and Trantow",entertainment,19.07,F,Enola,AR,72047,35.2087,-92.2123,969,"Physicist, medical",5/1/1954,34.621657,-92.550768,0
fraud_Homenick LLC,personal_care,71.52,F,Paradise Valley,AZ,85253,33.5494,-111.9565,17047,Building surveyor,29/01/1935,34.131106,-111.153607,0
"fraud_Mueller, Gerhold and Mueller",health_fitness,74.3,M,Cokeburg,PA,15324,40.1008,-80.0652,632,Dealer,8/4/1989,39.914123,-80.677196,0
"fraud_Lang, Towne and Schuppe",kids_pets,33.29,M,Winfield,WV,25213,38.5072,-81.89,5512,Exhibition designer,24/03/1980,39.12158,-81.26588,0
fraud_Mohr Inc,shopping_pos,1.66,F,Burlington,WA,98233,48.4786,-122.3345,14871,Public house manager,10/3/1974,48.387488,-123.074225,0
fraud_Deckow-Dare,food_dining,63.19,F,Kingsport,TN,37663,36.4715,-82.4834,87124,Warden/ranger,14/02/1987,37.23218,-82.479806,0
"fraud_Schumm, McLaughlin and Carter",food_dining,71.02,F,Deltona,FL,32725,28.8989,-81.2473,88735,Commercial horticulturist,9/4/1988,29.42498,-82.057318,0
fraud_Erdman-Ebert,personal_care,57.94,F,Lawn,PA,17041,40.2236,-76.538,213,Special educational needs teacher,15/02/1972,39.562609,-77.051843,0
fraud_Mayert Group,shopping_pos,8.74,F,Mountain Park,OK,73559,34.7032,-98.9591,540,Research scientist (life sciences),12/10/1983,33.782914,-98.111164,0
fraud_Gulgowski LLC,home,167.67,F,Whaleyville,MD,21872,38.4121,-75.2811,718,Regulatory affairs officer,19/03/1985,37.792572,-75.349761,0
fraud_Pfeffer and Sons,shopping_pos,258.15,F,Sherman,TX,75092,33.6372,-96.6184,46563,Systems developer,11/9/1970,34.128938,-96.912333,0
fraud_Zboncak LLC,food_dining,1.25,F,Edisto Island,SC,29438,32.5486,-80.307,2408,"Sales professional, IT",5/7/1997,32.773661,-79.325385,0
fraud_Erdman-Ebert,personal_care,76.95,M,Smock,PA,15480,39.9961,-79.7678,1946,Charity fundraiser,21/06/1990,40.129708,-79.430091,0
fraud_Champlin-Casper,home,119.96,M,Cross Plains,TX,76443,32.1482,-99.1872,1897,Chief Operating Officer,19/04/1953,32.549387,-98.987238,0
fraud_Sawayn PLC,shopping_pos,6.88,M,Saint James City,FL,33956,26.529,-82.0916,3776,Sport and exercise psychologist,12/9/1976,26.672842,-82.173487,0
fraud_Eichmann-Russel,misc_pos,4.67,F,Wetmore,MI,49895,46.3535,-86.6345,765,Immunologist,12/6/1972,46.202223,-86.004273,0
fraud_Fisher-Schowalter,shopping_net,1.04,M,Clarinda,IA,51632,40.7491,-95.038,7297,IT trainer,13/07/1990,40.076649,-95.771726,0
fraud_Schroeder Group,health_fitness,59.81,F,Noonan,ND,58765,48.8856,-103.0098,248,Industrial/product designer,13/05/1968,48.5699,-103.620023,0
"fraud_Gottlieb, Considine and Schultz",shopping_net,5.76,F,Wetmore,MI,49895,46.3535,-86.6345,765,Immunologist,12/6/1972,46.713946,-86.43173,0
fraud_Denesik and Sons,shopping_pos,6.86,F,Napa,CA,94558,38.4549,-122.2564,94014,Airline pilot,21/08/1985,39.134894,-121.973623,0
"fraud_McCullough, Hudson and Schuster",food_dining,56.36,F,De Witt,AR,72042,34.2853,-91.3336,5161,Electrical engineer,8/4/1993,33.694273,-90.595897,0
fraud_Jast-McDermott,shopping_pos,146.94,M,Thida,AR,72165,35.5762,-91.4539,111,Careers information officer,13/06/2000,35.143232,-92.443205,0
fraud_Waelchi-Wolf,kids_pets,77.91,F,Goreville,IL,62939,37.575,-88.9655,3119,"Teacher, secondary school",17/04/1942,38.025363,-89.609664,0
fraud_Lynch Ltd,shopping_pos,101.87,F,Phoenix,AZ,85020,33.5623,-112.0559,1312922,Contractor,24/10/1981,32.967726,-112.004985,0
fraud_Waelchi Inc,kids_pets,159.17,M,Romulus,MI,48174,42.2203,-83.3583,31515,Police officer,5/11/1971,42.053912,-82.78065,0
"fraud_Armstrong, Walter and Gottlieb",food_dining,5.86,M,Tekoa,WA,99033,47.2271,-117.0819,895,Clothing/textile technologist,31/05/1999,47.328024,-117.70868,0
fraud_Romaguera Ltd,health_fitness,25.02,F,Cuthbert,GA,39840,31.7706,-84.7936,5726,Fitness centre manager,14/08/1947,32.507455,-84.866799,0
fraud_McKenzie-Huels,food_dining,28.21,M,Birmingham,AL,35229,33.4629,-86.7904,493806,Musician,12/7/1980,32.911203,-86.218411,0
fraud_Champlin and Sons,home,125.24,F,Shields,ND,58569,46.1838,-101.2589,77,Film/video editor,17/12/1989,45.626804,-101.244881,0
fraud_Gleason-Macejkovic,shopping_net,3.32,F,Sun City,CA,92585,33.7467,-117.1721,54287,"Designer, exhibition/display",22/09/1972,34.459055,-118.073684,0
fraud_Champlin and Sons,home,15.34,M,East Rochester,NY,14445,43.1128,-77.4906,8019,Retail buyer,26/06/1928,43.799569,-76.667446,0
fraud_Hermann and Sons,shopping_pos,26.19,F,Ronceverte,WV,24970,37.7418,-80.4626,4575,Statistician,22/10/1991,38.358978,-79.891038,0
fraud_Lynch-Wisozk,home,85.14,F,Walnut Ridge,AR,72476,36.0244,-90.9288,7155,"Engineer, control and instrumentation",23/03/1977,35.605339,-90.420637,0
fraud_Spencer PLC,entertainment,77.4,M,Zaleski,OH,45698,39.283,-82.3977,341,Accounting technician,18/12/1978,40.120142,-82.01944,0
fraud_Goyette Inc,shopping_net,9.35,M,Edmond,OK,73034,35.6665,-97.4798,116001,Media buyer,10/5/1993,35.812356,-97.907315,0
fraud_Barrows PLC,shopping_pos,3.56,F,Scotia,SC,29939,32.6786,-81.2455,302,Magazine features editor,4/5/1973,32.823675,-80.287833,0
fraud_Beier and Sons,home,83.02,F,Thompson,UT,84540,38.9999,-109.615,46,"Surveyor, minerals",23/04/1987,39.502108,-109.55288,0
fraud_Schuppe LLC,entertainment,77.69,F,Superior,AZ,85173,33.2887,-111.0985,2872,Petroleum engineer,28/10/1987,32.673066,-110.706265,0
fraud_Harris Group,food_dining,9.58,M,Hovland,MN,55606,47.8342,-90.0476,272,Freight forwarder,5/7/2001,46.894709,-90.854421,0
fraud_Medhurst PLC,shopping_net,244.88,M,Murrayville,IL,62668,39.5723,-90.2379,1512,Commercial/residential surveyor,7/5/2003,40.097052,-90.703863,0
"fraud_Reichert, Huels and Hoppe",shopping_net,4.49,F,Arcadia,SC,29320,34.9572,-81.9916,530,Animal technologist,14/05/1989,33.986145,-81.007496,0
fraud_Boyer PLC,misc_pos,5.88,F,Sutherland,NE,69165,41.1558,-101.136,1789,Insurance broker,11/2/1982,41.873301,-100.874848,0
fraud_Homenick LLC,personal_care,6.07,F,Esbon,KS,66941,39.7562,-98.4462,242,Tourism officer,18/07/1987,39.247846,-97.996253,0
fraud_Turner LLC,travel,3.25,F,Tupper Lake,NY,12986,44.232,-74.4905,6120,Chartered loss adjuster,9/10/1976,45.227291,-73.873925,0
"fraud_Konopelski, Schneider and Hartmann",food_dining,160.45,M,Grant,AL,35747,34.4959,-86.259,5901,Curator,25/07/1972,34.725094,-86.381682,0
fraud_Lind-Buckridge,entertainment,11.5,F,Sutherland,NE,69165,41.1558,-101.136,1789,Insurance broker,11/2/1982,40.16775,-101.510134,0
fraud_Hilpert-Conroy,kids_pets,92.57,M,Powell,TN,37849,36.0435,-84.04,25459,"Teacher, special educational needs",22/02/1969,35.241147,-84.546699,0
fraud_Thiel-Thiel,entertainment,74.96,F,Greendale,WI,53129,42.9373,-87.9943,13973,Logistics and distribution manager,6/5/1981,42.285032,-87.22414,0
"fraud_Bahringer, Bergnaum and Quitzon",home,48.07,F,Barneveld,NY,13304,43.2237,-75.1612,1684,IT trainer,1/3/1994,42.666883,-75.051608,0
fraud_Graham and Sons,health_fitness,67.6,M,Pittsburgh,PA,15217,40.4308,-79.9205,687276,"Scientist, marine",19/10/1973,40.944663,-80.589163,0
fraud_Gaylord-Powlowski,home,46,F,Shields,ND,58569,46.1838,-101.2589,77,Film/video editor,17/12/1989,47.058522,-101.715511,0
fraud_Kub PLC,personal_care,117.33,F,Stirling,NJ,7980,40.6774,-74.4968,2307,Science writer,11/9/1969,40.267415,-75.179394,0
fraud_Nader-Maggio,personal_care,13.28,M,Norwalk,OH,44857,41.2403,-82.6078,23805,Copy,22/02/1970,41.3298,-81.713394,0
fraud_O'Connell-Ullrich,home,169.2,F,Drakes Branch,VA,23937,36.9688,-78.5615,1970,Energy engineer,2/9/1985,36.020287,-77.762341,0
"fraud_Crist, Jakubowski and Littel",home,13.84,M,Moores Hill,IN,47032,39.0945,-85.0638,3289,Sub,22/11/1969,38.17631,-84.95872,0
"fraud_McDermott, Osinski and Morar",home,90.69,M,Summerfield,TX,79085,34.7437,-102.5064,53,Fisheries officer,19/06/1992,34.057698,-103.044781,0
fraud_Jakubowski Group,food_dining,5.9,M,Mc Veytown,PA,17051,40.5046,-77.7186,4653,Nutritional therapist,1/7/1997,41.482858,-77.019184,0
fraud_Wilkinson LLC,personal_care,81.32,M,Johns Island,SC,29455,32.8357,-79.8217,20478,Materials engineer,4/6/1997,32.175635,-80.364093,0
"fraud_Lubowitz, Terry and Stracke",personal_care,43.02,M,Chester Heights,PA,19017,39.8839,-75.4669,348,Management consultant,5/5/1945,39.825941,-75.601412,0
"fraud_Denesik, Powlowski and Pouros",home,74.96,F,Mansfield,OH,44902,40.7559,-82.5123,92985,Press photographer,29/05/1968,41.045782,-82.981966,0
"fraud_Hettinger, McCullough and Fay",home,32.18,F,San Diego,CA,92128,33.0067,-117.069,1241364,"Pharmacist, hospital",1/3/1960,33.282579,-116.845017,0
fraud_Barton LLC,kids_pets,23.76,M,West Harrison,NY,10604,41.0592,-73.7395,11250,Lexicographer,16/08/1977,40.383396,-74.604365,0
fraud_Swift PLC,kids_pets,25.61,M,Boonton,NJ,7005,40.9115,-74.414,15269,"Psychologist, sport and exercise",5/7/1993,39.926798,-75.195762,0
fraud_Thompson-Gleason,health_fitness,18.45,F,Altonah,UT,84002,40.3207,-110.436,302,"Sales professional, IT",17/01/1990,40.048846,-111.090343,0
"fraud_Yost, Block and Koepp",misc_pos,8.56,F,Coyle,OK,73027,35.8985,-97.2607,1493,Amenity horticulturist,21/03/1985,35.788081,-96.740769,0
fraud_Ankunding-Carroll,travel,6.13,F,Smiths Grove,KY,42171,37.0581,-86.1938,6841,"Therapist, sports",6/6/1999,36.11785,-85.784996,0
fraud_Mohr Inc,shopping_pos,2.25,M,West Harrison,NY,10604,41.0592,-73.7395,11250,Lexicographer,16/08/1977,40.059685,-74.397447,0
"fraud_Koss, Hansen and Lueilwitz",home,100.65,M,Harmony,PA,16037,40.8496,-80.1381,4589,Bookseller,1/5/1956,41.633263,-79.266359,0
fraud_Ziemann-Waters,health_fitness,23.48,M,Monetta,SC,29105,33.8084,-81.5956,1514,Chief Strategy Officer,15/12/1966,33.334277,-81.163494,0
fraud_Kerluke-Abshire,shopping_net,122.82,F,Jones,AL,36749,32.5104,-86.8138,1089,Materials engineer,2/11/1971,32.398231,-86.185409,0
fraud_Schiller Ltd,personal_care,56.02,F,Falls Church,VA,22046,38.8856,-77.1802,116155,Chartered accountant,10/7/1983,39.876013,-76.441253,0
"fraud_Romaguera, Cruickshank and Greenholt",shopping_net,2.43,F,Meridian,TX,76665,31.929,-97.6443,2526,Phytotherapist,12/11/1970,32.907643,-98.641236,0
fraud_Hoppe-Parisian,kids_pets,69.31,F,Sixes,OR,97476,42.825,-124.4409,217,Retail merchandiser,1/10/1928,42.730146,-125.191407,0
fraud_Christiansen-Gusikowski,misc_pos,2.08,M,Hudson,NY,12534,42.247,-73.7552,17867,Travel agency manager,29/07/1998,42.399641,-74.468149,0
fraud_Stark-Koss,home,160.3,F,Amanda,OH,43102,39.6251,-82.7552,4512,Farm manager,3/10/1992,39.432295,-81.963796,0
fraud_Fritsch LLC,travel,2.16,F,Saint Amant,LA,70774,30.2385,-90.8435,10076,"Surveyor, rural practice",16/12/1977,30.52058,-91.807317,0
fraud_Nienow PLC,entertainment,74.77,F,Blairstown,MO,64726,38.5319,-93.9221,467,Agricultural consultant,27/05/1950,38.383681,-93.854309,0
fraud_Beier-Hyatt,shopping_pos,133,M,Oak Hill,NY,12460,42.4069,-74.1528,277,Glass blower/designer,12/12/1971,43.177745,-73.890642,0
"fraud_Hayes, Marquardt and Dibbert",misc_net,1.74,F,Thomas,WV,26292,39.1505,-79.503,836,Forensic psychologist,29/08/1981,38.677162,-78.771644,0
fraud_Schmidt-Larkin,home,72.54,F,North Tonawanda,NY,14120,43.0498,-78.851,45100,Ambulance person,25/10/1993,42.340719,-78.227884,0
"fraud_Gottlieb, Considine and Schultz",shopping_net,376.65,F,Milford,OH,45150,39.1657,-84.233,31394,Hospital doctor,12/11/1996,39.170785,-83.522679,0
fraud_Watsica LLC,personal_care,1.19,M,Harrington Park,NJ,7640,40.9918,-73.98,4664,"Radiographer, diagnostic",30/06/1965,40.468382,-73.163362,0
"fraud_Weber, Thiel and Hammes",kids_pets,7.18,M,Norwalk,CA,90650,33.9056,-118.0818,105549,Firefighter,22/09/1973,33.845137,-118.374816,0
"fraud_Gutmann, McLaughlin and Wiza",home,90.2,M,Tower Hill,IL,62571,39.39,-88.9597,1532,Radio broadcast assistant,9/1/1980,39.32562,-89.676581,0
fraud_Kling-Ernser,entertainment,2.83,M,Laredo,TX,78040,27.5155,-99.4986,248858,Video editor,28/01/1971,28.24328,-99.632487,0
fraud_Padberg-Rogahn,entertainment,72.28,F,Cleveland,TX,77327,30.33,-95.0202,34153,Building surveyor,11/9/1995,30.285454,-94.801933,0
fraud_Skiles LLC,home,139.84,M,Oklahoma City,OK,73134,35.6174,-97.5583,640470,Advertising copywriter,24/06/1966,36.533046,-97.190334,0
"fraud_Bins, Balistreri and Beatty",shopping_pos,686.06,F,Umatilla,FL,32784,28.9254,-81.6801,11432,Private music teacher,31/03/1986,28.533574,-81.306997,0
fraud_Dach-Nader,misc_net,156.4,F,Edisto Island,SC,29438,32.5486,-80.307,2408,"Sales professional, IT",5/7/1997,31.81247,-81.052993,0
fraud_O'Connell-Ullrich,home,118.91,F,Surrency,GA,31563,31.6489,-82.1982,1324,"Engineer, technical sales",12/7/1926,31.017163,-82.651408,0
fraud_Leffler-Goldner,personal_care,76.89,M,Kittery Point,ME,3905,43.0976,-70.7121,1780,Broadcast engineer,21/01/1983,42.72811,-70.576174,0
fraud_Beier LLC,entertainment,238.82,F,Hinckley,OH,44233,41.2419,-81.7453,7646,Medical sales representative,15/09/1988,41.723563,-80.990799,0
"fraud_Wintheiser, Dietrich and Schimmel",misc_pos,320.44,F,Scotland,MD,20687,38.0828,-76.3477,313,Insurance underwriter,26/03/1976,38.667352,-76.733553,0
"fraud_Champlin, Rolfson and Connelly",travel,5.09,F,Center Tuftonboro,NH,3816,43.6849,-71.2551,1368,"Optician, dispensing",5/8/1971,43.836774,-71.310584,0
fraud_Brown Inc,kids_pets,28.95,F,Catawba,VA,24070,37.3696,-80.1284,1363,Equality and diversity officer,23/08/1940,38.140766,-79.43797,0
fraud_Frami Group,entertainment,44.6,M,Bowdoin,ME,4287,44.0575,-69.9656,3224,"Engineer, electronics",22/08/1997,43.91797,-69.314236,0
fraud_Roob-Okuneva,health_fitness,84.57,F,Kirby,OH,43330,40.813,-83.4196,118,Private music teacher,12/11/1957,41.373542,-82.584839,0
fraud_Hills-Boyer,personal_care,25.13,F,Coyle,OK,73027,35.8985,-97.2607,1493,Amenity horticulturist,21/03/1985,35.510497,-96.82346,0
fraud_Monahan-Morar,personal_care,1.55,M,Westport,KY,40077,38.4921,-85.4524,564,Pensions consultant,10/4/1996,38.909089,-85.606214,0
fraud_Dibbert-Green,entertainment,81.76,M,Bridger,MT,59014,45.2857,-108.9082,1446,Chartered loss adjuster,15/01/1978,45.935636,-108.105437,0
fraud_Schmidt-Larkin,home,34.38,M,Brinson,GA,39825,30.9788,-84.7373,1461,"Engineer, broadcasting (operations)",8/9/1935,31.173575,-83.799141,0
fraud_Turner and Sons,shopping_pos,2.47,F,Viola,AR,72583,36.3924,-91.9932,1679,Psychiatric nurse,2/5/1986,37.044866,-92.429514,0
fraud_Dietrich-Fadel,health_fitness,48.19,M,Key West,FL,33040,24.6557,-81.3824,32891,Town planner,13/02/1987,25.116716,-81.14623,0
fraud_Jacobi Inc,health_fitness,32.28,F,Greendale,WI,53129,42.9373,-87.9943,13973,Logistics and distribution manager,6/5/1981,42.918708,-87.660539,0
fraud_Kassulke PLC,shopping_net,1420.9,M,Elizabeth,NJ,7208,40.6747,-74.2239,124967,Operational researcher,21/12/1980,41.030466,-74.717381,0
fraud_Champlin-Casper,home,15.28,F,Brownville,NY,13615,44.0577,-76.0196,1271,"Producer, radio",14/08/1958,44.914746,-76.197162,0
fraud_Berge-Ullrich,home,36.43,M,Huntsville,AL,35811,34.7789,-86.5438,190178,Television production assistant,1/4/1973,35.636262,-87.23947,0
fraud_Jast Ltd,shopping_net,2.56,M,Norwalk,CA,90650,33.9056,-118.0818,105549,Firefighter,22/09/1973,33.249902,-119.056994,0
fraud_Wilkinson PLC,kids_pets,45.67,F,Mound City,MO,64470,40.1362,-95.2138,1631,Architect,20/01/1953,40.152569,-95.153766,0
fraud_Quitzon-Goyette,home,129.59,F,Saint Paul,MN,55128,44.9913,-92.9487,753116,Fisheries officer,6/8/1971,45.811299,-92.393778,0
fraud_Connelly PLC,food_dining,58.18,F,Philadelphia,PA,19154,40.0897,-74.9781,1526206,Commercial horticulturist,23/05/1972,40.916282,-75.449108,0
fraud_Kozey-McDermott,travel,9.41,M,Lakeland,FL,33809,28.1762,-81.9591,237282,Plant breeder/geneticist,13/10/1949,28.680201,-81.917976,0
fraud_Koelpin and Sons,misc_net,5.34,F,Cleveland,TX,77327,30.33,-95.0202,34153,Building surveyor,11/9/1995,30.176993,-94.853891,0
fraud_Pacocha-Weissnat,kids_pets,92.62,F,Sherman,TX,75092,33.6372,-96.6184,46563,Systems developer,11/9/1970,33.751739,-96.268047,0
fraud_Cummerata-Hilpert,entertainment,126.79,F,Fort Myers,FL,33967,26.4722,-81.8122,224256,Paramedic,29/08/1985,27.308715,-82.396326,0
"fraud_Medhurst, Labadie and Gottlieb",travel,9.59,F,Ash Flat,AR,72513,36.2201,-91.6421,2856,Hydrologist,27/08/1926,36.710406,-91.25992,0
fraud_Hoppe-Parisian,kids_pets,12.46,M,Oconto Falls,WI,54154,44.8755,-88.1555,5548,Mining engineer,11/9/1975,44.624311,-88.730531,0
fraud_Conroy-Emard,food_dining,9.25,M,Morrisdale,PA,16858,41.0001,-78.2357,3688,Advice worker,27/05/1973,40.865825,-77.41127,0
fraud_Connelly-Carter,home,8.06,F,Louisville,KY,40209,38.1901,-85.7519,736284,"Education officer, museum",13/09/1961,38.005692,-85.131096,0
"fraud_Turcotte, Batz and Buckridge",health_fitness,25.7,F,Eagarville,IL,62023,39.1118,-89.7855,91,Materials engineer,18/11/1962,39.187044,-90.415231,0
fraud_Crona and Sons,kids_pets,3.89,M,Port Ewen,NY,12466,41.8948,-73.9767,2471,Heritage manager,21/01/1966,40.92189,-73.093197,0
fraud_Fahey Inc,kids_pets,56.5,M,Nazareth,TX,79063,34.5444,-102.1069,686,Petroleum engineer,30/07/1980,34.702814,-102.933786,0
"fraud_Becker, Harris and Harvey",personal_care,21.23,F,De Witt,AR,72042,34.2853,-91.3336,5161,Electrical engineer,8/4/1993,34.78127,-91.532341,0
fraud_Breitenberg-Hermiston,kids_pets,24.44,F,Gardiner,OR,97441,43.7857,-124.1437,260,"Engineer, maintenance",1/9/1956,44.273074,-123.924753,0
fraud_Jakubowski Group,food_dining,36.04,F,Plantersville,AL,36758,32.6176,-86.9475,1412,Drilling engineer,20/11/1970,33.153447,-87.431792,0
"fraud_Graham, Hegmann and Hammes",food_dining,21.4,M,Montgomery,AL,36111,32.3374,-86.2715,214703,"Chemist, analytical",7/10/1994,31.757632,-87.086044,0
fraud_Connelly-Carter,home,60.61,M,Sauk Rapids,MN,56379,45.604,-94.1591,16163,Hydrographic surveyor,22/02/1987,44.734378,-95.124679,0
fraud_Hilpert-Conroy,kids_pets,16.1,F,Issaquah,WA,98027,47.4974,-122.0107,50489,Osteopath,29/02/1984,48.366721,-122.118904,0
"fraud_Windler, Goodwin and Kovacek",home,43.28,M,Camden,MO,64017,39.2048,-94.0259,464,Colour technologist,28/05/1959,38.900678,-93.77828,0
fraud_Mayert Group,shopping_pos,35.73,F,Holcomb,KS,67851,37.9931,-100.9893,2691,Arboriculturist,16/08/1993,37.505226,-100.537034,0
fraud_Haag-Blanda,food_dining,5.47,F,Winger,MN,56592,47.5375,-95.9941,516,Applications developer,7/6/1966,47.222054,-95.749624,0
fraud_Emmerich-Rau,personal_care,78.83,F,De Witt,AR,72042,34.2853,-91.3336,5161,Electrical engineer,8/4/1993,34.90767,-90.639315,0
"fraud_Hermiston, Pacocha and Smith",health_fitness,27.15,M,Dallas,TX,75236,32.69,-96.9177,1263321,"Designer, interior/spatial",27/09/1952,33.328974,-96.054267,0
fraud_McCullough LLC,misc_pos,1.64,M,Cedar,MI,49621,44.8605,-85.8138,3096,"Social research officer, government",11/10/1975,44.046491,-85.472658,0
fraud_Volkman-Predovic,shopping_net,2271.66,M,Lawrence,MA,1843,42.6911,-71.1605,76383,Geoscientist,4/4/1985,43.622853,-71.020822,0
fraud_Nolan-Williamson,kids_pets,43.25,F,Manchester,MD,21102,39.6747,-76.8941,11751,Clinical research associate,15/02/1964,38.798264,-76.099915,0
fraud_Bednar Group,misc_net,6.49,F,Cleveland,TX,77327,30.33,-95.0202,34153,Building surveyor,11/9/1995,29.653833,-94.965909,0
fraud_Ebert-Daugherty,travel,9.38,M,Paint Rock,AL,35764,34.7031,-86.3068,653,Paediatric nurse,19/06/1966,35.205687,-86.041494,0
fraud_Friesen-Ortiz,personal_care,2.8,F,Irvine,PA,16329,41.8117,-79.2643,528,Chief Marketing Officer,13/09/1972,42.510778,-79.818433,0
"fraud_Romaguera, Wehner and Tromp",kids_pets,192.39,F,West Columbia,SC,29170,33.9568,-81.1405,52126,Chemical engineer,23/08/1929,34.468073,-81.325108,0
"fraud_Watsica, Haag and Considine",shopping_pos,6.9,F,Whaleyville,MD,21872,38.4121,-75.2811,718,Regulatory affairs officer,19/03/1985,38.819403,-75.363637,0
fraud_Kassulke PLC,shopping_net,23.38,F,Creedmoor,NC,27522,36.1124,-78.6476,12335,Chief Strategy Officer,19/09/1987,35.779499,-79.557832,0
fraud_Skiles LLC,home,53.75,M,Haw River,NC,27258,36.0424,-79.3242,6006,Paramedic,20/07/1984,35.532335,-80.280968,0
fraud_Kulas Group,health_fitness,7.06,F,Surrency,GA,31563,31.6489,-82.1982,1324,"Engineer, technical sales",12/7/1926,32.297918,-81.521437,0
"fraud_O'Connell, Botsford and Hand",home,10.58,M,Wilmette,IL,60091,42.0765,-87.7246,27020,Trade mark attorney,23/07/1986,42.637827,-86.966105,0
"fraud_Schneider, Hayes and Nikolaus",food_dining,48.32,F,Garrattsville,NY,13342,42.6315,-75.1866,165,Naval architect,20/09/1945,42.285109,-75.18249,0
fraud_O'Connell-Ullrich,home,43.54,M,Methuen,MA,1844,42.728,-71.181,47249,Market researcher,22/11/1980,42.47228,-71.505391,0
fraud_Spencer PLC,entertainment,157.29,M,Reno,NV,89512,39.5483,-119.7957,276896,Immunologist,12/3/1997,39.261025,-119.662523,0
fraud_Auer LLC,personal_care,77.7,M,Williamsburg,MO,63388,38.8874,-91.7689,710,Glass blower/designer,27/09/1970,39.624762,-91.286349,0
"fraud_Windler, Goodwin and Kovacek",home,67.71,M,Cedar,MI,49621,44.8605,-85.8138,3096,"Social research officer, government",11/10/1975,45.239001,-86.766,0
fraud_Christiansen-Gusikowski,misc_pos,9.66,M,Romulus,MI,48174,42.2203,-83.3583,31515,Police officer,5/11/1971,41.855182,-83.67351,0
